date,exchange_rate
2015-07-18,280
2015-07-21,277
2015-07-24,288
2015-07-27,287
2015-07-30,289
2015-08-02,285
2015-08-05,284
2015-08-08,261
2015-08-11,267
2015-08-14,265
2015-08-17,255
2015-08-20,227
2015-08-23,225
2015-08-26,222
2015-08-29,230
2015-09-01,229
2015-09-04,228
2015-09-07,235
2015-09-10,240
2015-09-13,232
2015-09-16,231
2015-09-19,233
2015-09-22,229
2015-09-25,236
2015-09-28,238
2015-10-01,237
2015-10-04,241
2015-10-07,243
2015-10-10,244
2015-10-13,247
2015-10-16,255
2015-10-19,259
2015-10-22,264
2015-10-25,275
2015-10-28,293
2015-10-31,328
2015-11-03,362
2015-11-06,381
2015-11-09,333
2015-11-12,306
2015-11-15,318
2015-11-18,335
2015-11-21,323
2015-11-24,320
2015-11-27,322
2015-11-30,374
2015-12-03,360
2015-12-06,390
2015-12-09,406
2015-12-12,416
2015-12-15,442
2015-12-18,463
2015-12-21,436
2015-12-24,455
2015-12-27,422
2015-12-30,430
2016-01-02,434
2016-01-05,433
2016-01-08,453
2016-01-11,450
2016-01-14,432
2016-01-17,383
2016-01-20,378
2016-01-23,388
2016-01-26,396
2016-01-29,380
2016-02-01,375
2016-02-04,369
2016-02-07,371
2016-02-10,385
2016-02-13,395
2016-02-16,413
2016-02-19,421
2016-02-22,429
2016-02-25,421
2016-02-28,434
2016-03-02,432
2016-03-05,417
2016-03-08,414
2016-03-11,417
2016-03-14,415
2016-03-17,419
2016-03-20,411
2016-03-23,418
2016-03-26,416
2016-03-29,416
2016-04-01,417
2016-04-04,422
2016-04-07,420
2016-04-10,423
2016-04-13,426
2016-04-16,430
2016-04-19,437
2016-04-22,450
2016-04-25,455
2016-04-28,449
2016-05-01,450
2016-05-04,446
2016-05-07,458
2016-05-10,459
2016-05-13,454
2016-05-16,459
2016-05-19,455
2016-05-22,444
2016-05-25,450
2016-05-28,476
2016-05-31,530
2016-06-03,533
2016-06-06,578
2016-06-09,576
2016-06-12,683
2016-06-15,711
2016-06-18,766
2016-06-21,673
2016-06-24,611
2016-06-27,646
2016-06-30,668
2016-07-03,670
2016-07-06,677
2016-07-09,658
2016-07-12,658
2016-07-15,663
2016-07-18,662
2016-07-21,668
2016-07-24,656
2016-07-27,657
2016-07-30,656
2016-08-02,522
2016-08-05,576
2016-08-08,589
2016-08-11,587
2016-08-14,573
2016-08-17,570
2016-08-20,577
2016-08-23,581
2016-08-26,577
2016-08-29,573
2016-09-01,573
2016-09-04,601
2016-09-07,614
2016-09-10,607
2016-09-13,609
2016-09-16,609
2016-09-19,607
2016-09-22,600
2016-09-25,604
2016-09-28,607
2016-10-01,613
2016-10-04,612
2016-10-07,616
2016-10-10,621
2016-10-13,636
2016-10-16,639
2016-10-19,633
2016-10-22,651
2016-10-25,657
2016-10-28,686
2016-10-31,693
2016-11-03,714
2016-11-06,710
2016-11-09,729
2016-11-12,717
2016-11-15,713
2016-11-18,741
2016-11-21,739
2016-11-24,738
2016-11-27,737
2016-11-30,741
2016-12-03,769
2016-12-06,773
2016-12-09,775
2016-12-12,779
2016-12-15,776
2016-12-18,789
2016-12-21,806
2016-12-24,900
2016-12-27,944
2016-12-30,952
2017-01-02,977
2017-01-05,1013
2017-01-08,894
2017-01-11,786
2017-01-14,822
2017-01-17,835
2017-01-20,891
2017-01-23,924
2017-01-26,907
2017-01-29,921
2017-02-01,966
2017-02-04,1007
2017-02-07,1021
2017-02-10,997
2017-02-13,1009
2017-02-16,1026
2017-02-19,1056
2017-02-22,1128
2017-02-25,1173
2017-02-28,1192
2017-03-03,1261
2017-03-06,1275
2017-03-09,1253
2017-03-12,1185
2017-03-15,1232
2017-03-18,1056
2017-03-21,1044
2017-03-24,938
2017-03-27,1028
2017-03-30,1043
2017-04-02,1087
2017-04-05,1127
2017-04-08,1185
2017-04-11,1218
2017-04-14,1172
2017-04-17,1198
2017-04-20,1254
2017-04-23,1260
2017-04-26,1318
2017-04-29,1309
2017-05-02,1391
2017-05-05,1542
2017-05-08,1645
2017-05-11,1753
2017-05-14,1728
2017-05-17,1733
2017-05-20,2062
2017-05-23,2238
2017-05-26,2143
2017-05-29,2202
2017-06-01,2424
2017-06-04,2504
2017-06-07,2804
2017-06-10,2867
2017-06-13,2534
2017-06-16,2464
2017-06-19,2687
2017-06-22,2727
2017-06-25,2562
2017-06-28,2571
2017-07-01,2459
2017-07-04,2600
2017-07-07,2517
2017-07-10,2525
2017-07-13,2394
2017-07-16,2082
2017-07-19,2282
2017-07-22,2812
2017-07-25,2575
2017-07-28,2724
2017-07-31,2871
2017-08-03,2703
2017-08-06,3240
2017-08-09,3313
2017-08-12,3856
2017-08-15,4261
2017-08-18,4314
2017-08-21,4034
2017-08-24,4338
2017-08-27,4350
2017-08-30,4591
2017-09-02,4899
2017-09-05,4337
2017-09-08,4238
2017-09-11,4168
2017-09-14,3831
2017-09-17,3609
2017-09-20,3918
2017-09-23,3688
2017-09-26,3906
2017-09-29,4200
2017-10-02,4367
2017-10-05,4331
2017-10-08,4489
2017-10-11,4773
2017-10-14,5649
2017-10-17,5593
2017-10-20,5916
2017-10-23,5970
2017-10-26,5780
2017-10-29,6110
2017-11-01,6604
2017-11-04,7411
2017-11-07,7095
2017-11-10,6660
2017-11-13,6569
2017-11-16,7798
2017-11-19,8004
2017-11-22,8228
2017-11-25,8716
2017-11-28,9953
2017-12-01,10859
2017-12-04,11605
2017-12-07,16502
2017-12-10,15162
2017-12-13,16432
2017-12-16,19289
2017-12-19,17583
2017-12-22,13858
2017-12-25,14026
2017-12-28,14606
2017-12-31,13860
2018-01-03,15172
2018-01-06,17135
2018-01-09,14595
2018-01-12,13825
2018-01-15,13567
2018-01-18,11358
2018-01-21,12215
2018-01-24,10737
2018-01-27,11529
2018-01-30,10153
2018-02-02,8780
2018-02-05,6950
2018-02-08,8245
2018-02-11,8645
2018-02-14,9438
2018-02-17,10325
2018-02-20,11412
2018-02-23,10243
2018-02-26,10512
2018-03-01,10961
2018-03-04,11348
2018-03-07,10333
2018-03-10,9228
2018-03-13,9165
2018-03-16,8328
2018-03-19,8560
2018-03-22,8640
2018-03-25,8540
2018-03-28,7967
2018-03-31,6936
2018-04-03,7422
2018-04-06,6832
2018-04-09,6890
2018-04-12,7925
2018-04-15,8024
2018-04-18,8109
2018-04-21,8872
2018-04-24,8920
2018-04-27,9264
2018-04-30,9230
2018-05-03,9716
2018-05-06,9741
2018-05-09,9342
2018-05-12,8437
2018-05-15,8554
2018-05-18,8239
2018-05-21,8370
2018-05-24,7565
2018-05-27,7322
2018-05-30,7391
2018-06-02,7631
2018-06-05,7632
2018-06-08,7488
2018-06-11,6815
2018-06-14,6429
2018-06-17,6545
2018-06-20,6727
2018-06-23,6112
2018-06-26,6186
2018-06-29,5875
2018-07-02,6543
2018-07-05,6560
2018-07-08,6767
2018-07-11,6365
2018-07-14,6203
2018-07-17,7307
2018-07-20,7406
2018-07-23,7683
2018-07-26,8188
2018-07-29,8211
2018-08-01,7547
2018-08-04,7461
2018-08-07,6882
2018-08-10,6243
2018-08-13,6233
2018-08-16,6369
2018-08-19,6377
2018-08-22,6416
2018-08-25,6687
2018-08-28,7032
2018-08-31,7053
2018-09-03,7272
2018-09-06,6387
2018-09-09,6274
2018-09-12,6306
2018-09-15,6530
2018-09-18,6377
2018-09-21,6730
2018-09-24,6660
2018-09-27,6655
2018-09-30,6586
2018-10-03,6561
2018-10-06,6559
2018-10-09,6596
2018-10-12,6284
2018-10-15,6583
2018-10-18,6574
2018-10-21,6469
2018-10-24,6477
2018-10-27,6472
2018-10-30,6332
2018-11-02,6413
2018-11-05,6345
2018-11-08,6437
2018-11-11,6389
2018-11-14,5519
2018-11-17,5525
2018-11-20,4500
2018-11-23,4340
2018-11-26,3876
2018-11-29,4213
2018-12-02,4141
2018-12-05,3621
2018-12-08,3453
2018-12-11,3401
2018-12-14,3265
2018-12-17,3523
2018-12-20,3845
2018-12-23,3830
2018-12-26,3820
2018-12-29,3710
2019-01-01,3698
2019-01-04,3840
2019-01-07,4027
2019-01-10,3609
2019-01-13,3614
2019-01-16,3621
2019-01-19,3632
2019-01-22,3569
2019-01-25,3558
2019-01-28,3403
2019-01-31,3428
2019-02-03,3471
2019-02-06,3430
2019-02-09,3623
2019-02-12,3601
2019-02-15,3596
2019-02-18,3878
2019-02-21,3972
2019-02-24,3824
2019-02-27,3808
2019-03-02,3826
2019-03-05,3838
2019-03-08,3853
2019-03-11,3866
2019-03-14,3860
2019-03-17,3996
2019-03-20,4019
2019-03-23,3970
2019-03-26,3937
2019-03-29,4072
2019-04-01,4142
2019-04-04,5031
2019-04-07,5173
2019-04-10,5196
2019-04-13,5076
2019-04-16,5162
2019-04-19,5296
2019-04-22,5382
2019-04-25,5395
2019-04-28,5225
2019-05-01,5313
2019-05-04,5765
2019-05-07,5748
2019-05-10,6293
2019-05-13,7874
2019-05-16,8010
2019-05-19,7226
2019-05-22,7953
2019-05-25,8031
2019-05-28,8632
2019-05-31,8551
2019-06-03,8722
2019-06-06,7677
2019-06-09,7850
2019-06-12,8179
2019-06-15,8740
